question,document,score,reasoning
I just found this course late — can I still join and follow along?,74eb249bbf,good,"The AI answer preserves the key meaning: late joiners can still participate, and certificate eligibility depends on submitting the project while submissions are still accepted. It adds an extra condition about finishing with a live cohort, but that does not negate the core ground truth and may be supplementary. Overall semantically equivalent enough."
"If I start the course after it begins, do I still have a chance to get a certificate?",74eb249bbf,good,"The AI answer preserves the key point from the ground truth: you can still get a certificate if you submit your project while submissions are being accepted. It adds an extra condition about completing capstone peer-reviews, which is not present in the original answer, but this does not contradict the core answer and is likely relevant course detail. Semantically equivalent enough."
Is it okay to enroll now even though I missed the start date?,74eb249bbf,good,The AI answer preserves the key point that it is okay to enroll/start after the start date and adds that submissions must be made while the form is open. This matches the ground truth requirement about needing to submit the project while submissions are still accepted in order to receive a certificate.
What do I need to do to be eligible for the course certificate if I join late?,74eb249bbf,good,"The AI answer includes the key ground-truth condition that to be eligible for the certificate, you must submit your project while submissions are still open. It adds extra requirements about finishing with the live cohort and peer-reviewing projects, but these are not contradicted by the original answer and may be supplementary course rules. The core answer matches the FAQ."
"Can I still take part in the course now, or is it too late to join?",74eb249bbf,good,"The AI answer preserves the core meaning of the ground truth: participation is still possible, and certificate eligibility depends on submitting the project before submissions close. It is semantically equivalent."
I signed up for LLM Zoomcamp but never got a confirmation email — do I need to wait for one before starting?,977bf7786c,good,"The AI answer matches the ground truth: it clearly states no confirmation email is needed, the student is accepted, they can start learning and submitting homework while the form is open, and registration is only to gauge interest. It omits the detail that homework is not checked against any registered list, but that is not essential to the main answer."
Is there supposed to be an acceptance or confirmation message after registering for the course?,977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation is needed, the student is accepted, registration only gauges interest, and homework can be started while the form is open. This preserves the key point that registration is not checked against a list."
Can I begin the LLM Zoomcamp materials and submit homework even if I didn’t register first?,977bf7786c,bad,"The AI answer fails to provide the ground-truth information. The correct answer is that registration is not required to start learning or submit homework while the form is open, and it is not checked against a registered list. Saying 'I don't know' is incorrect and misses the key point."
Does the course check whether I’m on some registered list before I can submit assignments?,977bf7786c,good,"The AI answer matches the ground truth: it explicitly says there is no registered-list check, that assignments can be submitted while the form is open without registering, and that registration is only for gauging interest before the start date. This preserves the key meaning with no contradictions."
What’s the point of registration for LLM Zoomcamp if it’s not required to join or do the homework?,977bf7786c,good,"The AI answer preserves the key point of the ground truth: registration is only for gauging interest, and it is not required to join, learn, or submit homework. It omits the explicit 'You're accepted' phrasing, but that is implied by saying no confirmation or approval is needed. Semantically equivalent."
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,489dd1c9d9,good,"The AI answer matches the ground truth: it states that students do not use the public Zoom link, that Zoom is only for instructors/presenters/TAs, and that students watch via YouTube Live and ask questions through Slido with the link pinned in chat. It also includes the announcements channel and the warning not to post questions in chat. Semantically equivalent."
Where should I look for the live stream URL before an office hours session starts?,489dd1c9d9,good,"The AI answer correctly states where the live stream URL is posted before the session starts: the announcements channel on Telegram and Slack, and also mentions DataTalksClub YouTube channel. This matches the ground truth key information. It omits some extra details about Zoom being only for instructors and questions going to Slido, but those are not required for the question asked."
"Can I watch the workshop live on YouTube, and how do I send questions during the session?",489dd1c9d9,good,"The AI answer matches the ground truth: it says students can watch live on YouTube/DataTalksClub, notes the URL is posted in Telegram/Slack announcements before the workshop, and instructs users to ask questions via Slido rather than chat. No key information is missing or incorrect."
Why are we told not to ask questions in the chat during live sessions?,489dd1c9d9,good,"The AI answer captures the key reason correctly: questions in chat may be missed when the room is active, and it mentions using Slido during live sessions. The extra note about asking questions in Slack when not in the live session is not contradictory and does not affect the core answer. It omits some context about YouTube Live and where links are posted, but that is not necessary to answer this specific question."
"Is the Zoom link for office hours shared with everyone in the course, or only with the instructors and TAs?",489dd1c9d9,good,"The AI answer matches the ground truth: the Zoom link is only shared with instructors/presenters/TAs, and students use YouTube Live and Slido instead. It preserves the key distinction and is semantically equivalent."
What’s the best way to get started with LLM Zoomcamp if I’m joining late?,04919992b3,good,"The AI answer preserves the core guidance: start whenever you want, consult the docs/repo, watch videos, work through notebooks, read homework instructions, and submit via the course platform before deadlines. It also correctly mentions the course management platform and deadlines. The extra Module 1 details and Slack advice are additional but do not contradict the original answer. Semantically equivalent."
"Where do I find the course materials, videos, and homework deadlines?",04919992b3,good,"The AI answer captures the key points: GitHub repository for course materials and videos, course management platform for deadlines and submissions, and mentions homework instructions on GitHub. It omits the docs links and the workflow details, but those are supplementary rather than core to the question. Semantically equivalent overall."
What does a normal weekly routine look like for this course?,04919992b3,good,"The AI answer matches the core workflow described in the ground truth: watch videos, work through notebooks/code, read homework instructions, and submit before the deadline. It omits the introductory links and the note that homework may use a different dataset or slightly different task, but those are extra details, not key to the weekly routine question."
"Do I have to begin the course on a specific date, or can I start anytime?",04919992b3,good,"The AI answer correctly states that the course can be started anytime and that materials/deadlines are available. It captures the core answer without contradicting the ground truth. It omits some extra workflow details and links, but those are not necessary for semantic equivalence."
