question,answer_llm,answer_orig,document
I just found this course late — can I still join and follow along?,"Yes, you can still join and follow along. The course materials are available, and you can start whenever you want.

If you want a certificate, though, you must submit your project while submissions are still being accepted and finish with a live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start the course after it begins, do I still have a chance to get a certificate?","Yes — if you join after the course has started, you can still get a certificate as long as you submit your project while submissions are still being accepted and complete the required capstone peer-reviews during the live course.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to enroll now even though I missed the start date?,"Yes — you can start whenever you want. The videos and GitHub materials are available, and you can begin learning and submitting homework as long as the submission form is open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the course certificate if I join late?,"If you join late, you can still get the certificate, but you need to:

- submit your project while submissions are still open
- finish the course with the live cohort
- peer-review 3 capstone projects after you submit yours

You can’t get the certificate in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can I still take part in the course now, or is it too late to join?","Yes, you can still join the course now. If you want to receive a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for LLM Zoomcamp but never got a confirmation email — do I need to wait for one before starting?,"You don’t need to wait for a confirmation email. You’re accepted, and you can start learning and submitting homework while the form is open even without registering. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there supposed to be an acceptance or confirmation message after registering for the course?,"No. You don’t need a confirmation email—you're accepted. Registration is only to gauge interest, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin the LLM Zoomcamp materials and submit homework even if I didn’t register first?,I don't know.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Does the course check whether I’m on some registered list before I can submit assignments?,"No. The course does **not** check against a registered list before you submit assignments. You can start learning and submit homework while the form is open, even without registering. Registration is just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registration for LLM Zoomcamp if it’s not required to join or do the homework?,"Registration is just to gauge interest before the start date. You don’t need a confirmation email or registration approval to join, learn, or submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,"Students join via **YouTube Live**, not the public Zoom link. The **Zoom link is only for instructors/presenters/TAs**.

To participate:
- Watch the session on the **DataTalksClub YouTube Channel**
- Check the **announcements channel on Telegram and Slack** for the live video URL before it starts
- Ask questions through **Slido** — the link is **pinned in the chat when live**

Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I look for the live stream URL before an office hours session starts?,Look for the live stream URL in the **announcements channel on Telegram and Slack** before it starts. It may also be live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the workshop live on YouTube, and how do I send questions during the session?","Yes — you can watch the workshop live on the DataTalksClub YouTube channel, and the video URL is also posted in the announcements channel on Telegram and Slack before it starts.

To send questions during the session, use Slido; the Slido link is pinned in the chat when the stream is live. Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Why are we told not to ask questions in the chat during live sessions?,"Don’t post questions in the chat because they may be missed if the room is very active. Use Slido during live sessions, and ask questions in Slack when you’re not in the live session.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom link for office hours shared with everyone in the course, or only with the instructors and TAs?",Only with the instructors/presenters/TAs — it’s not published to everyone in the course. Students join via YouTube Live and Slido instead.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to get started with LLM Zoomcamp if I’m joining late?,"You can start whenever you want — the videos and GitHub materials are already available.

A good way to get started if you’re joining late is:

1. Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).
2. Check the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) for the current syllabus, deadlines, and progress tracking.
3. Watch the lesson videos.
4. Work through the lesson notebooks/code.
5. Read the homework instructions on GitHub.
6. Submit your answers through the course platform before the deadline.

For Module 1 in the 2026 cohort, start here:
- [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
- [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

If homework feels unclear, first read the GitHub homework instructions, not just the course platform page. If it’s still unclear, ask in Slack and include code or command output as text, not a screenshot.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where do I find the course materials, videos, and homework deadlines?","Use the **LLM Zoomcamp GitHub repository** as the main entry point for the **course materials and lesson videos**:  
https://github.com/DataTalksClub/llm-zoomcamp

For **homework deadlines, submission, syllabus, and progress tracking**, use the **course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

For homework specifically, the **GitHub repo also has the homework instructions and cohort materials**, and it may include extra context beyond the platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What does a normal weekly routine look like for this course?,"A normal weekly routine for this course is:

1. Watch the lesson videos.  
2. Work through the lesson notebooks/code.  
3. Read the homework instructions on GitHub.  
4. Submit answers through the course platform before the deadline.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
