question,document
I just found this course — is it still okay to join now?,74eb249bbf
"Can I join late and still participate, or is it too late already?",74eb249bbf
"If I start the course after it’s been running for a while, can I still get involved?",74eb249bbf
"Is it possible to join the course now, and what do I need to do if I want the certificate?",74eb249bbf
"Am I allowed to enroll after the course has started, and how do I qualify for the certificate?",74eb249bbf
I signed up for the LLM Zoomcamp — when should I get the confirmation email?,977bf7786c
Do I actually need to wait for a registration confirmation before starting the course?,977bf7786c
"If I didn’t register, can I still begin the LLM Zoomcamp and submit homework while it’s open?",977bf7786c
Is the course checking homework submissions against a list of registered students?,977bf7786c
What’s the point of registering for the LLM Zoomcamp if it doesn’t affect access?,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,489dd1c9d9
Where should I look for the live video link before an Office Hours session starts?,489dd1c9d9
"Can I ask questions in the YouTube chat during the live session, or is there a better way to do it?",489dd1c9d9
Who gets access to the Zoom link for the workshop or office hours sessions?,489dd1c9d9
"If I want to follow the live stream and send questions, what platforms or links should I use?",489dd1c9d9
What’s the best way to begin LLM Zoomcamp if I’m joining late or want to study on my own schedule?,04919992b3
Which course pages or GitHub repo should I open first to keep track of the lessons and logistics?,04919992b3
"After watching a lesson, what should I do next before I try the homework?",04919992b3
Where do I check the homework due dates and where do I actually submit my answers?,04919992b3
"Are the homework tasks basically the same as the lesson notebooks, or do they change the dataset/task a bit?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,c2903069a0
"Why am I seeing a random name on the leaderboard instead of my real one, and can I change it?",c2903069a0
Where can I check what display name the course is using for me?,c2903069a0
What should I edit if I want my certificate to show my real official name instead of the default nickname?,c2903069a0
"Can I use a Slack or GitHub handle as my visible course name, and how do I set that up?",c2903069a0
Can I take the course at my own pace and still get a certificate at the end?,69d122f12e
"If I study the course as self-paced, will I still be eligible for the course certificate?",69d122f12e
Do you give certificates for people who complete the course outside the live cohort?,69d122f12e
Why isn’t there a certificate option for the self-paced version of the course?,69d122f12e
Is peer reviewing other students’ capstone projects required to receive the certificate?,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is the capstone enough?",9f689c185f
"Is homework actually required to get the course certificate, or is it just for practice and leaderboard points?",9f689c185f
"If I didn’t do the first assignment, can I still complete the course and earn the certificate by passing the capstone project?",9f689c185f
"How important are the homework points for the certificate, or do they only affect the leaderboard ranking?",9f689c185f
What’s the minimum requirement for getting the certificate in this course if I missed one of the homeworks?,9f689c185f
Why does the homework content keep changing before it's released?,96286b4be4
What does [DRAFT] mean in the homework title?,96286b4be4
How do I know when a homework assignment is actually ready?,96286b4be4
Can I start working on homework before the final version is out?,96286b4be4
Why does the homework form open but the tasks still seem to change?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next session of the course starts?,bd31146b0e
What’s the next course run date for this class?,bd31146b0e
Is there a planned offering of the course in Summer 2027?,bd31146b0e
When can I expect the course to be available again?,bd31146b0e
Where can I find the lecture videos for the course lessons?,31456f4b5f
Is there a main place I should start from to get to the videos?,31456f4b5f
Do the lesson pages already have the relevant video links on them?,31456f4b5f
Should I use the YouTube playlist or the GitHub repo to follow the course?,31456f4b5f
"If I’m confused about where the videos are, what’s the first thing I should check?",31456f4b5f
Is there a course dashboard or platform where I can see the LLM Zoomcamp syllabus and homework?,20c5a1347e
Where do I check the deadlines and keep track of my progress in LLM Zoomcamp?,20c5a1347e
What site should I use to follow the current cohort structure for the course?,20c5a1347e
How do I find all the homework and due dates for LLM Zoomcamp in one place?,20c5a1347e
Is the LLM Zoomcamp management page the same kind of system used in other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live sessions or office hours for every module in the course, or is everything just pre-recorded?",d65e05bd7a
How do live sessions work in this course if they are not scheduled for each module?,d65e05bd7a
"If I get stuck on a module, where should I ask for help and are there any rules for that?",d65e05bd7a
Is there any extra paid option with regular Zoom office hours and more support?,d65e05bd7a
"Are the main LLM Zoomcamp materials free, and where are the module lessons available?",d65e05bd7a
Can I count a Bluesky post toward my learning in public credits?,dbf5369006
Are Bluesky posts accepted for the learning in public requirement?,dbf5369006
"If I post about the course on Bluesky, does that qualify for credits?",dbf5369006
Do Bluesky updates count as learning in public credits in this course?,dbf5369006
Can I use a post on Bluesky to get learning in public credit?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the link to the LLM Zoomcamp Telegram group?,054f3fd58f
Where do course announcements get posted in LLM Zoomcamp?,054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Is there a Slack channel for LLM Zoomcamp technical help instead of Telegram?,054f3fd58f
Why does my FAQ data have a different number of records than the one shown in the course videos?,e2d595f23c
Is it normal for the FAQ dataset count to change when I run the code later?,e2d595f23c
Why are there more or fewer rows in the live FAQ dataset than in the recording?,e2d595f23c
"Did the dataset get updated after the videos were made, or am I doing something wrong?",e2d595f23c
How come the FAQ examples in the videos don't match the dataset I get now?,e2d595f23c
"If the homework form is still open after the deadline, am I still allowed to submit my answers?",a9353fadfe
